tender_id,type,start,tender_class,tender_pwh,tender_info,start_price,address,region,end
№85718559,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Аукционы - это закупочные процедуры, в которых выбор поставщика осуществляется по результатам торгов. Победителем станет участник, предложивший минимальную цену в ходе аукциона",Поставка хозяйственных товаров электротовары,285542,г. Курган,Курганская область,18.08.2025
№85718560,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки","Установка средств организации дорожного движения, местоположение: Оренбургская область, г. Новотроицк, ул. Гагарина",701704,г. Новотроицк,Оренбургская область,15.08.2025
№85718554,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Аукционы - это закупочные процедуры, в которых выбор поставщика осуществляется по результатам торгов. Победителем станет участник, предложивший минимальную цену в ходе аукциона",Организация работ по поверке приборов учета водоснабжения и теплоснабжения,414100,"г. Талдом,  рабочий поселок Запрудня; г. Дубна; г. Талдом,  рабочий поселок Вербилки; г. Талдом,  рабочий поселок Северный",Московская область,18.08.2025
№85718576,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,"Монитор, подключаемый к компьютеру",,Севастополь,Севастополь город,13.08.2025
№85718574,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,Системный блок,,Севастополь,Севастополь город,13.08.2025
№85718575,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,Системный блок,,Севастополь,Севастополь город,13.08.2025
№85718572,Тендер,10.08.25,"Тендеры, проводимые в рамках 223-ФЗ ""О закупках товаров, работ, услуг отдельными видами юридических лиц""","Аукционы - это закупочные процедуры, в которых выбор поставщика осуществляется по результатам торгов. Победителем станет участник, предложивший минимальную цену в ходе аукциона",Поставка канцелярских товаров (дырокол),5392,г. Альметьевск,Татарстан республика,18.08.2025
№85718571,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.","ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ",61750,г. Москва,Москва город,12.08.2025
№85718570,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.",Поставка лекарственных препаратов,,г. Новомичуринск,Рязанская область,11.08.2025
№85718566,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки",Поставка энтерального питания,730800,г. Екатеринбург,Свердловская область,15.08.2025
№85718545,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Ручной измерительный инструмент; Лампы; Метизы,,г. Москва,Москва город,12.08.2025
№85718547,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Трубы кабеленесущие; Метизы; Кабели с медной жилой; Электроустановочная продукция,,г. Москва,Москва город,13.08.2025
№85718538,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.","Такелаж (веревки, канаты, тросы)",,Московская обл,Московская область,10.08.2025
№85718542,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.","Электробензоинструмент; Расходные материалы для инструмента (буры, биты, диски); Электроустановочная продукция; Инструмент ручной; СИЗ",,Ленинградская обл,Ленинградская область,13.08.2025
№85718543,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.","Инструмент ручной; Метизы; Моющие, чистящие средства; Лакокрасочные материалы",,Московская обл,Московская область,13.08.2025
№85718546,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",СИЗ; Охранно-пожарная сигнализация,,г. Москва,Москва город,13.08.2025
№85718564,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,Кондитерские изделия,18350,г. Астрахань,Астраханская область,11.08.2025
№85718565,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,Кондитерские изделия,18350,г. Астрахань,Астраханская область,11.08.2025
№85718563,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.",Оказание услуг по периодическому медицинскому осмотру сотрудников,95400,"г. Тула,  поселок Хомяково",Тульская область,13.08.2025
№85718527,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,Конструктор для сборки 3д-принтера,,Севастополь,Севастополь город,13.08.2025
№85718561,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки",Поставка лекарственного препарата для медицинского применения группы Фентанил,127452,г. Томск,Томская область,15.08.2025
№85718562,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки",Поставка лекарственного препарата для медицинского применения группы Фентанил,1981952,г. Томск,Томская область,15.08.2025
№85718558,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Аукционы - это закупочные процедуры, в которых выбор поставщика осуществляется по результатам торгов. Победителем станет участник, предложивший минимальную цену в ходе аукциона",Поставка хозяйственных товаров электротовары,152524,г. Курган,Курганская область,18.08.2025
№85718557,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Аукционы - это закупочные процедуры, в которых выбор поставщика осуществляется по результатам торгов. Победителем станет участник, предложивший минимальную цену в ходе аукциона",Поставка хозяйственных товаров электротовары,160196,г. Курган,Курганская область,18.08.2025
№85718556,Тендер,10.08.25,"Тендеры, проводимые в рамках 223-ФЗ ""О закупках товаров, работ, услуг отдельными видами юридических лиц""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки",Поставка программного обеспечения (операционной системы),34933,г. Екатеринбург,Свердловская область,18.08.2025
№85718555,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.",Закупка моторного масла,198985,Чита,Забайкальский край,14.08.2025
№85718526,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Закупки у единственного поставщика - это способ, при котором контракт заключается с конкретным юридическим или физическим лицом без проведения формальной процедуры выбора поставщика",Рис,41481,"Амгинский улус,  село Амга",Саха /Якутия/ республика,10.08.2025
№85718553,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки","Поставка горюче-смазочных материалов в 2025 году, для нужд ФГБУ Национальный парк Кисловодский",2999381,г. Кисловодск,Ставропольский край,15.08.2025
№85718524,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Электротехническая продукция для ОФ (V-151000-OPER-714_717_841_845_848),,г. Березники,Пермский край,13.08.2025
№85718552,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Электронные компоненты,,г. Москва,Москва город,07.09.2025
№85718551,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Электронные компоненты,,г. Москва,Москва город,07.09.2025
№85718518,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Аукционы - это закупочные процедуры, в которых выбор поставщика осуществляется по результатам торгов. Победителем станет участник, предложивший минимальную цену в ходе аукциона",Поставка лекарственных препаратов,61750,"г. Москва; Куменский район,  поселок Олимпийский",Кировская область,18.08.2025
№85718544,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Зеркала,,г. Москва,Москва город,04.09.2025
№85718548,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Шкафы и щиты электрические,,г. Москва,Москва город,01.09.2025
№85718550,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.","Лампы; Строительные леса и лестницы; Расходные материалы для инструмента (буры, биты, диски); Инструмент ручной; Метизы; Метизы и расходники; Кабельная арматура; Источники питания и аккумуляторы",,г. Москва,Москва город,13.08.2025
№85718539,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Шкафы и щиты электрические,,г. Москва,Москва город,01.09.2025
№85718536,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Вода питьевая,,г. Москва,Москва город,12.08.2025
№85718540,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Метизы,,Санкт-Петербург,Санкт-Петербург город,12.08.2025
№85718534,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Метизы,,г. Москва,Москва город,11.08.2025
№85718533,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Штукатурки,,г. Москва,Москва город,12.08.2025
№85718541,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Нерегламентированные закупки - это тендеры, не регулируемые законодательством. Заказчики могут формулировать и классифицировать их по своему усмотрению.",Техническая изоляция (для коммуникаций),,г. Москва,Москва город,17.08.2025
№85718532,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.",Поставка детской посуды для дошкольного отделения,157500,г. Долгопрудный,Московская область,11.08.2025
№85718531,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.",Поставка стойки для телевизора,45384,"Темрюкский район,  поселок Стрелка",Краснодарский край,12.08.2025
№85718517,Тендер,10.08.25,"Тендеры, проводимые в рамках 223-ФЗ ""О закупках товаров, работ, услуг отдельными видами юридических лиц""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки","организация питания обучающихся, осваивающих образовательную программу начального общего образования в муниципальных образовательных организациях городского округа ""Город Южно-Сахалинск"", реализующих соответствующие образовательные программы (1-4 класс сентябрь 2025)",3115926,г. Южно-Сахалинск,Сахалинская область,15.08.2025
№85718516,Тендер,10.08.25,"Тендеры, проводимые в рамках 223-ФЗ ""О закупках товаров, работ, услуг отдельными видами юридических лиц""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки","организация питания обучающихся, из малоимущих семей, семей, находящихся в социально опасном положении, семей коренных малочисленных народов Севера Сахалинской области, обучающихся из многодетных семей и обучающихся, имеющих единственного родителя, воспитывающих двоих и более несовершеннолетних детей, осваивающих программы основного общего и среднего общего образования, в муниципальных образовательных организациях городского округа ""Город Южно-Сахалинск"", реализующих соответствующие образовательные программы (5-11 класс сентябрь 2025)",978660,г. Южно-Сахалинск,Сахалинская область,15.08.2025
№85718515,Тендер,10.08.25,"Тендеры, проводимые в рамках 223-ФЗ ""О закупках товаров, работ, услуг отдельными видами юридических лиц""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки",Поставка молока ультрапастеризованного для питания детей школьного возраста,2577600,г. Южно-Сахалинск;Сахалинская обл,Сахалинская область,15.08.2025
№85718528,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,Поставка стоек ограждения,,г. Электрогорск,Московская область,11.08.2025
№85718525,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки",Поставка продуктов питания (колбаса вареная Докторская),52283,г. Камызяк,Астраханская область,15.08.2025
№85718521,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.",Оказание услуг по периодическому медицинскому осмотру сотрудников,95400,"г. Тула,  поселок Хомяково",Тульская область,13.08.2025
№85718519,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.",Закупка лабораторных приборов для выполнения НИР по договору № 23-05-2025 (ID 81756),,г. Москва,Москва город,14.08.2025
№85718487,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.",мебель,597960,г. Дигора,Северная Осетия - Алания республика,14.08.2025
